data,Inv_CONNECTEDTV,Impr_CONNECTEDTV,Inv_DISPLAY,Impr_DISPLAY,Inv_OPENTV,Impr_OPENTV,Inv_PAIDTV,Impr_PAIDTV,Inv_PROGRAMATICA,Impr_PROGRAMATICA,Inv_SEARCH,Impr_SEARCH,Inv_SOCIAL,Impr_SOCIAL,Inv_YOUTUBE,Impr_YOUTUBE,ipca,desemprego,indice_confianca_consumidor,leads
2023-01-30,14982.26,416406,20511.83,3826947,0.00,0,8736.00,0,27147.24,11352211,38862.48,113884,87048.33,21511563,4495.90,1473167,0.0054,0.088,125.38,257
2023-01-31,14016.29,377399,27754.62,4215203,0.00,0,8736.00,0,24244.21,9078410,35946.04,107229,79166.52,16161131,5079.46,1676438,0.0054,0.088,125.38,275
2023-02-01,365.40,4189,32365.36,6054890,0.00,0,18752.80,0,15272.24,6563678,40207.78,113573,31175.11,8369773,2454.60,807814,0.0101,0.088,128.78,257
2023-02-02,349.15,3644,29307.21,5056339,0.00,0,19166.40,0,15591.05,7455648,44263.33,123705,42669.59,8491580,2450.02,751815,0.0101,0.088,128.78,233
2023-02-03,303.17,3166,34997.20,6945635,0.00,0,18752.80,0,16999.00,7625889,43245.34,120830,43229.10,8794207,2450.85,740903,0.0101,0.088,128.78,260
2023-02-04,280.41,2927,38596.48,5901464,0.00,0,8736.00,0,16750.16,7275406,43784.53,122866,49237.23,9465135,2455.43,686069,0.0101,0.088,128.78,218
2023-02-05,276.17,2881,45424.27,7549070,0.00,0,8736.00,0,16336.32,7532384,42755.33,122947,53370.93,11277671,2453.83,669059,0.0101,0.088,128.78,249
2023-02-06,282.52,2949,44515.87,7754904,0.00,0,18752.80,0,16400.03,7413730,49036.95,126035,51415.97,10393824,2449.45,634721,0.0101,0.088,128.78,274
2023-02-07,280.30,2925,44814.70,7829408,0.00,0,19166.40,0,16392.35,7315115,51133.77,124559,49033.30,8236041,2441.92,625591,0.0101,0.088,128.78,273
2023-02-08,287.12,2996,207411.51,65480116,0.00,0,18752.80,0,16602.36,6989475,40011.44,111678,47178.96,8272602,201050.98,30039290,0.0101,0.088,128.78,307
2023-02-09,279.54,2917,57621.97,7359692,0.00,0,19166.40,0,14445.54,5926296,49199.04,113062,45236.61,8035626,2451.06,634807,0.0101,0.088,128.78,248
2023-02-10,5464.65,221329,44277.39,5921490,0.00,0,12608.80,0,20176.22,10541002,48546.33,115339,47937.09,8349233,2453.86,628923,0.0101,0.088,128.78,217
2023-02-11,65817.28,2559828,28980.32,3518548,0.00,0,8736.00,0,20684.83,11123535,47439.64,109191,52892.13,8658587,2455.13,637661,0.0101,0.088,128.78,226
2023-02-12,23227.06,597071,27274.07,3148353,0.00,0,8736.00,0,19445.78,12113416,48123.27,118918,57334.81,9804788,2474.08,618202,0.0101,0.088,128.78,221
2023-02-13,13671.79,319872,60981.56,7285276,0.00,0,7488.00,0,34500.01,16964736,47669.66,119096,91326.68,14471221,2450.19,570304,0.0101,0.088,128.78,267
2023-02-14,10861.72,295735,65257.62,9781859,0.00,0,24192.00,0,42131.51,20483601,50099.64,165265,103259.94,18990048,2204.18,501327,0.0101,0.088,128.78,276
2023-02-15,8970.42,281168,67870.69,9239285,0.00,0,21229.80,0,44175.42,21344472,52505.06,180505,108625.32,19133761,2092.96,450349,0.0101,0.088,128.78,307
2023-02-16,8589.52,280561,53950.24,7987035,194614.46,0,20448.00,0,46036.56,13780924,59459.05,208418,87636.60,11880185,11806.47,2405219,0.0101,0.088,128.78,265
2023-02-17,8975.23,293018,72898.73,11471200,135923.05,0,19770.60,0,49831.28,20146530,58448.28,177145,63738.97,8487389,6774.82,1501496,0.0101,0.088,128.78,243
2023-02-18,10021.53,297197,82854.58,8527466,0.00,0,7488.00,0,28659.47,9846751,49220.67,176928,52612.81,8587276,3336.06,755607,0.0101,0.088,128.78,295
2023-02-19,8561.99,278854,76944.04,6041968,28686.84,0,7488.00,0,31491.98,17832153,51120.14,195528,58885.05,9994417,3335.25,728217,0.0101,0.088,128.78,293
2023-02-20,8930.19,284728,94507.66,6954250,0.00,0,15162.60,0,27008.16,10887344,52078.17,193129,57122.97,10880633,3338.08,716078,0.0101,0.088,128.78,396
2023-02-21,8798.76,281577,97042.52,10057251,0.00,0,12096.00,0,30247.11,17363321,59682.82,196579,55428.32,11502193,3342.71,751361,0.0101,0.088,128.78,380
2023-02-22,9375.05,288027,86946.15,11107500,0.00,0,15162.60,0,29198.59,18213049,66993.16,204376,53204.12,10949653,3332.22,890820,0.0101,0.088,128.78,405
2023-02-23,8778.96,273692,72272.03,9387934,228365.61,0,12096.00,0,25354.75,10129092,62368.88,203129,66046.83,11605510,3323.00,851129,0.0101,0.088,128.78,370
2023-02-24,9407.67,291644,69405.15,11226097,164987.55,0,13555.20,0,23823.96,9657544,60702.58,201445,81503.43,11736082,3349.75,827353,0.0101,0.088,128.78,191
2023-02-25,8817.69,278573,34879.93,4458399,0.00,0,7488.00,0,20973.48,8522576,25377.63,80286,109586.03,14149424,3354.09,800561,0.0101,0.088,128.78,188
2023-02-26,8049.47,262064,128.47,42517,54946.17,0,7488.00,0,26198.27,14728437,3130.30,4437,115960.99,15475276,3354.12,832100,0.0101,0.088,128.78,135
2023-02-27,8699.63,270132,183159.17,23153733,235936.26,0,12096.00,0,23853.64,14610677,75779.94,200036,108677.34,12815026,3364.78,842332,0.0101,0.088,128.78,416
2023-02-28,7940.81,237421,207774.79,23098291,308896.07,0,12096.00,0,16999.10,9456047,75177.55,212011,105726.13,12525304,2213.65,657748,0.0101,0.088,128.78,466
2023-03-01,1822.98,135220,21740.38,4742752,0.00,0,8736.00,0,31065.50,18321288,48088.51,144281,61267.28,10842701,1898.39,1027334,0.0162,0.088,127.42,294
2023-03-02,2655.23,196952,29559.21,5549643,0.00,0,8736.00,0,29518.25,18701015,37672.05,138152,64247.19,10452216,1906.10,856151,0.0162,0.088,127.42,271
2023-03-03,2696.01,199977,40613.41,10445279,0.00,0,8736.00,0,49978.43,21974551,30721.92,125224,67870.00,9418835,1906.03,883954,0.0162,0.088,127.42,253
2023-03-04,2704.96,200641,112333.77,19323100,0.00,0,7488.00,0,55611.56,24516548,38127.11,152693,84497.73,11155197,1908.33,1187658,0.0162,0.088,127.42,404
2023-03-05,2739.80,203225,89814.40,15564737,0.00,0,7488.00,0,58917.93,25178626,44077.77,143950,88878.49,12729665,1905.84,1219278,0.0162,0.088,127.42,275
2023-03-06,1572.18,116617,94103.33,12956348,0.00,0,22055.40,0,66179.70,34686988,44991.80,150151,85790.72,12293161,1285.45,708356,0.0162,0.088,127.42,378
2023-03-07,2530.14,175214,91608.47,10997349,0.00,0,76999.20,0,78626.09,43019977,57263.15,184803,90154.60,11590789,1669.63,333525,0.0162,0.088,127.42,361
2023-03-08,2595.51,175494,80205.92,5117958,0.00,0,90411.60,0,79000.95,41871406,65059.77,209277,114481.84,15789289,1669.94,356307,0.0162,0.088,127.42,376
2023-03-09,2569.11,174798,104786.42,13135973,0.00,0,95456.40,0,78819.70,35263809,82603.49,211687,129580.15,16025760,1664.09,340945,0.0162,0.088,127.42,323
2023-03-10,7588.79,545830,92108.07,11072406,0.00,0,77315.80,0,92076.46,36252919,73661.04,208973,144819.66,18218150,4675.40,1144015,0.0162,0.088,127.42,356
2023-03-11,3682.22,254316,112524.78,11270632,0.00,0,12633.00,0,114094.33,39079734,82723.98,215675,158358.33,19882474,4669.40,1866734,0.0162,0.088,127.42,370
2023-03-12,3407.69,215795,117254.03,17208255,0.00,0,9903.00,0,105280.68,38090890,80628.44,216609,171765.53,22497964,4659.51,1533184,0.0162,0.088,127.42,416
2023-03-13,3065.79,207060,105239.39,15027485,0.00,0,63517.80,0,101231.94,39591128,84583.12,207015,181786.85,24800786,4670.99,1334403,0.0162,0.088,127.42,506
2023-03-14,27686.03,2050495,664550.53,211297256,0.00,0,50383.80,0,106651.14,37713701,89866.27,220634,186487.17,21967400,842592.06,165463580,0.0162,0.088,127.42,301
2023-03-15,78654.97,2957143,114946.75,12631247,0.00,0,62475.00,0,126204.59,37302511,90503.61,220266,194129.82,18908126,4674.70,1212947,0.0162,0.088,127.42,567
2023-03-16,63126.18,3078637,118679.39,16602855,0.00,0,59000.40,0,121473.63,39020830,88877.02,189731,189654.27,18673134,3688.89,958262,0.0162,0.088,127.42,564
2023-03-17,51052.81,2761370,160431.55,19673762,0.00,0,65954.40,0,108289.56,35250186,86532.76,204333,156337.14,16917090,3133.58,620837,0.0162,0.088,127.42,435
2023-03-18,31643.27,2165859,204056.40,24276919,0.00,0,12633.00,0,100593.10,33177588,91811.48,231220,133776.42,15070012,3129.50,680396,0.0162,0.088,127.42,422
2023-03-19,32649.35,2268578,153034.21,17706935,0.00,0,9903.00,0,112231.10,33001187,88040.11,227004,156444.02,17731866,3125.74,677945,0.0162,0.088,127.42,463
2023-03-20,30808.00,2116133,215728.28,23546933,0.00,0,35497.80,0,109852.42,34634736,103608.85,235803,156613.25,18030212,3125.03,599687,0.0162,0.088,127.42,620
2023-03-21,7891.23,238145,187480.12,20543491,0.00,0,60095.40,0,104018.47,34071116,103573.04,234350,162835.02,17771510,3126.82,626103,0.0162,0.088,127.42,683
2023-03-22,7443.52,226899,190892.23,22317353,0.00,0,42296.40,0,108927.05,42437991,100175.99,223172,160005.88,16574917,3009.83,602899,0.0162,0.088,127.42,663
2023-03-23,7557.50,217250,158272.64,19079707,0.00,0,49927.80,0,101994.73,39974933,104475.38,226354,161340.72,16059710,1985.98,392255,0.0162,0.088,127.42,604
2023-03-24,9959.66,232187,156798.74,19483563,0.00,0,46040.40,0,91207.40,33351087,105477.23,229604,146109.90,16050285,1877.91,362741,0.0162,0.088,127.42,570
2023-03-25,8212.02,207111,125374.38,16435390,0.00,0,12633.00,0,100702.98,33348413,107195.86,226114,145708.60,15889228,1873.76,389684,0.0162,0.088,127.42,440
2023-03-26,21861.12,1304586,169527.81,18144552,404344.32,0,9903.00,0,94192.55,33119747,120532.23,251878,160417.35,17801754,1859.99,435876,0.0162,0.088,127.42,721
2023-03-27,18480.40,1036305,161550.67,19805797,0.00,0,45678.60,0,102172.38,37908792,130144.11,270998,161898.50,19031985,1835.55,418034,0.0162,0.088,127.42,688
2023-03-28,30621.21,2022741,144120.94,16270780,0.00,0,40702.80,0,93053.61,37346165,113418.57,249471,171816.89,18993918,1785.10,363801,0.0162,0.088,127.42,686
2023-03-29,21832.07,1365861,140094.67,21408895,0.00,0,53936.40,0,90593.55,34676787,109115.25,242857,146379.10,17625275,1786.81,329292,0.0162,0.088,127.42,597
2023-03-30,48354.49,3585956,136337.19,23080587,0.00,0,42296.40,0,74581.19,29265231,127759.09,242659,161884.42,18394538,1785.41,323791,0.0162,0.088,127.42,1026
2023-03-31,8154.08,150418,148386.18,16820594,0.00,0,49927.80,0,88881.33,23298313,115441.31,227490,160752.20,16154652,1788.31,346695,0.0162,0.088,127.42,1119
2023-04-01,7292.12,193407,39683.86,5822117,0.00,0,7488.00,0,24348.28,20973342,66908.21,191918,42617.30,6406121,0.00,0,0.0106,0.080,125.10,421
